"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Authentication > AUTH-06 Login hides login navigation link","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","189","Customer Support > SUP-13 Support ticket is stored","webkit","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","254","Persistence > PERS-14 User can log back in after persisted logout","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","556","Authentication > AUTH-12 Session remains after reload","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","152","API Internal > API-14 API can be called after page navigation","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","1494","Persistence > PERS-04 Shipping address persists","firefox","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","30","Customer Support > SUP-14 Stored support ticket has priority","chromium","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","198","Product > PROD-12 Add to cart button is visible","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","1740","User Profile > PROF-15 Profile can be updated again","webkit","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","379","Cart > CART-05 Cart table shows added items","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","238","Authentication > AUTH-15 Logout returns user to product section","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","760","Payment > PAY-11 Cash on delivery option can be selected","chromium","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","723","Customer Support > SUP-06 Support priority can be high","webkit","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","61","Customer Support > SUP-04 Support subject field is visible","chromium","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","189","Address Shipping > SHIP-13 Returning to cart from nav works","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","223","User Profile > PROF-12 Profile values survive reload","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","2834","Product > PROD-14 No-result search renders empty list","webkit","2026-05-29","failed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","130","Persistence > PERS-10 Cleared cart remains clear after reload","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","1843","Payment > PAY-12 Cash on delivery payment succeeds without card number","webkit","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","96","Customer Support > SUP-10 Support subject accepts text","firefox","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","74","API Internal > API-06 Cart API includes product id","firefox","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","230","Cart > CART-02 Empty cart message is visible","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","186","Address Shipping > SHIP-10 Saved address is stored","webkit","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","624","Payment > PAY-05 CVV accepts text","webkit","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
